Engine,Steps,Paths,Time,Steps/Paths
numpy,128,100,0.009478116035461425,128/100
cupy,128,100,0.1388934373855591,128/100
numpy,128,1000,0.013380146026611328,128/1000
cupy,128,1000,0.09096827507019042,128/1000
numpy,128,10000,0.09820859432220459,128/10000
cupy,128,10000,0.08673596382141113,128/10000
numpy,128,100000,1.088972806930542,128/100000
cupy,128,100000,0.12228713035583497,128/100000
numpy,256,100,0.010292482376098634,256/100
cupy,256,100,0.14205448627471923,256/100
numpy,256,1000,0.02505207061767578,256/1000
cupy,256,1000,0.15134544372558595,256/1000
numpy,256,10000,0.205546236038208,256/10000
cupy,256,10000,0.163934063911438,256/10000
numpy,256,100000,2.215642523765564,256/100000
cupy,256,100000,0.3005791425704956,256/100000
numpy,512,100,0.0238325834274292,512/100
cupy,512,100,0.292090916633606,512/100
numpy,512,1000,0.05397169589996338,512/1000
cupy,512,1000,0.30898303985595704,512/1000
numpy,512,10000,0.39945125579833984,512/10000
cupy,512,10000,0.3217375993728638,512/10000
numpy,512,100000,4.555531215667725,512/100000
cupy,512,100000,0.5906532049179077,512/100000
numpy,1024,100,0.05362100601196289,1024/100
cupy,1024,100,0.5810860395431519,1024/100
numpy,1024,1000,0.11461451053619384,1024/1000
cupy,1024,1000,0.5935138940811158,1024/1000
numpy,1024,10000,0.7403784275054932,1024/10000
cupy,1024,10000,0.620387053489685,1024/10000
numpy,1024,100000,14.263332200050353,1024/100000
cupy,1024,100000,1.1923656702041625,1024/100000
